player,probability,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10
attacker,0.02217866,5,4,12,2,15,8,15,13,11,15
attacker,0.01730673,3,8,8,20,10,9,9,17,4,12
attacker,0.01676447,16,19,14,0,14,13,3,2,0,19
attacker,0.01596637,0,10,19,1,1,20,10,18,1,20
attacker,0.01593825,20,13,7,3,2,2,13,4,18,18
attacker,0.01556801,15,19,11,15,13,3,7,0,15,2
attacker,0.0150217,1,20,2,8,12,18,8,8,8,15
attacker,0.01486085,9,8,3,6,13,17,19,14,5,6
attacker,0.01481963,7,20,7,11,5,7,0,15,11,17
attacker,0.01478143,9,15,5,5,20,19,11,10,3,3
attacker,0.01373084,7,0,15,18,11,16,9,5,19,0
attacker,0.01340943,5,13,6,4,4,4,20,19,16,9
attacker,0.01315483,14,7,6,17,8,1,20,20,3,4
attacker,0.0129176,8,6,2,12,12,17,8,13,16,6
attacker,0.01266799,19,1,14,13,9,18,1,5,14,6
attacker,0.01194927,2,9,16,9,3,19,18,18,2,4
attacker,0.01173852,18,7,9,11,7,11,7,16,8,6
attacker,0.01171315,10,5,18,8,14,14,3,1,20,7
attacker,0.01165946,3,11,20,3,1,20,13,3,17,9
attacker,0.01146958,4,15,18,6,4,4,11,4,19,15
attacker,0.01145829,4,18,13,10,17,2,1,6,16,13
attacker,0.01137473,11,18,10,15,20,12,2,5,7,0
attacker,0.01123722,2,11,10,18,1,5,6,11,17,19
attacker,0.011232,20,15,8,8,19,4,8,11,0,7
attacker,0.01121418,9,16,16,0,11,0,3,16,13,16
attacker,0.01104817,4,9,13,13,15,6,2,17,13,8
attacker,0.0110208,13,0,0,16,18,7,17,14,2,13
attacker,0.01087514,16,1,12,17,16,15,4,2,5,12
attacker,0.01078345,19,3,18,10,3,16,0,9,12,10
attacker,0.01075871,17,0,0,20,5,14,19,12,13,0
attacker,0.01074563,0,17,9,9,20,5,9,11,9,11
attacker,0.01074364,11,17,19,19,0,3,5,0,15,11
attacker,0.01038124,14,10,15,4,6,10,6,19,8,8
attacker,0.01031105,13,14,9,3,18,0,9,14,17,3
attacker,0.01029803,3,6,9,20,13,12,6,10,4,17
attacker,0.0102167,6,6,13,7,9,9,4,9,20,17
attacker,0.01018546,7,3,11,5,11,5,15,18,9,16
attacker,0.01005924,12,5,16,10,19,1,1,1,16,19
attacker,0.0100411,13,12,1,16,10,16,19,7,5,1
attacker,0.00992449,3,16,5,20,7,7,13,16,12,1
attacker,0.00964041,15,12,18,7,9,6,10,4,6,13
attacker,0.00961146,11,9,2,17,0,2,19,20,18,2
attacker,0.00959412,12,17,2,2,17,12,10,18,2,8
attacker,0.00941529,1,5,12,12,8,3,8,12,19,20
attacker,0.00930897,6,14,0,13,6,19,17,3,6,16
attacker,0.00918156,20,18,0,0,11,1,20,8,15,7
attacker,0.00904025,16,5,4,9,17,1,1,15,14,18
attacker,0.0088429,10,2,8,15,4,15,14,7,20,5
attacker,0.00881627,17,5,6,8,1,19,16,15,3,10
attacker,0.00849021,2,2,15,19,2,17,11,6,15,11
attacker,0.00826101,1,16,17,19,6,1,5,19,7,9
attacker,0.00820006,12,16,3,18,7,17,18,1,3,5
attacker,0.0081514,19,2,4,16,15,14,4,12,6,8
attacker,0.00811214,13,14,3,6,15,10,12,8,18,1
attacker,0.00795308,17,17,3,16,13,0,14,11,7,2
attacker,0.00794307,15,12,14,14,14,7,1,10,10,3
attacker,0.00790108,11,10,20,14,16,9,0,9,11,0
attacker,0.00754993,1,20,4,17,19,5,16,7,1,10
attacker,0.0075497,6,20,1,6,19,10,5,8,6,19
attacker,0.00752865,18,10,5,5,19,13,6,7,8,9
attacker,0.00752635,20,2,10,7,5,12,17,8,14,5
attacker,0.00739547,16,17,8,1,2,6,12,20,14,4
attacker,0.00726889,4,18,19,11,8,17,2,6,7,8
attacker,0.00726299,10,8,4,4,10,15,19,6,10,14
attacker,0.00720926,17,7,17,12,9,12,5,3,11,7
attacker,0.00720878,8,11,5,1,12,13,16,2,12,20
attacker,0.00714815,14,6,10,16,3,14,12,12,12,1
attacker,0.00709861,6,1,13,18,9,13,12,14,0,14
attacker,0.00705994,17,7,13,1,3,10,5,20,10,14
attacker,0.00679827,8,3,19,1,17,8,14,1,17,12
attacker,0.00677498,7,17,11,13,3,11,15,9,9,5
attacker,0.00675017,17,13,7,10,3,0,5,14,20,11
attacker,0.00642216,7,4,4,10,17,15,17,13,2,11
attacker,0.00616305,19,3,15,11,14,11,3,5,1,18
attacker,0.00616078,9,3,17,5,20,18,16,1,10,1
attacker,0.00613594,12,2,17,14,5,10,7,16,1,16
attacker,0.00600779,18,20,1,3,1,15,4,4,17,17
attacker,0.00590116,5,1,0,15,8,19,11,20,18,3
attacker,0.00582566,1,10,5,14,18,7,19,16,5,5
