player,probability,a1,a2,a3,a4
attacker,0.07188176,1,0,7,7
attacker,0.06725916,7,4,1,3
attacker,0.06682397,4,5,5,1
attacker,0.06524254,7,5,3,0
attacker,0.06152028,3,6,4,2
attacker,0.06010812,6,3,3,3
attacker,0.05941823,5,1,2,7
attacker,0.05857991,2,3,5,5
attacker,0.05161202,1,1,7,6
attacker,0.05039671,5,2,1,7
attacker,0.05028982,7,7,0,1
attacker,0.05021408,3,1,6,5
attacker,0.04625837,0,7,7,1
attacker,0.03617773,0,7,5,3
attacker,0.035713,5,3,3,4
attacker,0.02908786,3,7,1,4
attacker,0.02638655,5,5,0,5
attacker,0.0218231,1,2,7,5
attacker,0.01385014,3,7,5,0
attacker,0.0092845,3,5,5,2
attacker,0.00861052,2,7,1,5
attacker,0.00804535,5,0,3,7
attacker,0.00775296,2,5,2,6
attacker,0.00722056,1,8,1,5
attacker,0.00709198,8,1,3,3
attacker,0.00700687,3,3,1,8
attacker,0.00693955,1,3,8,3
attacker,0.00685022,1,3,6,5
attacker,0.00351952,7,5,2,1
attacker,0.00236816,3,7,4,1
attacker,0.00141452,6,1,3,5
attacker,0.00124252,4,5,1,5
attacker,6.66e-06,1,13,1,0
attacker,1.63e-06,5,0,0,10
attacker,1.15e-06,0,1,13,1
defender,0.07188176,1,7,0,7
defender,0.06725916,7,1,4,3
defender,0.06682397,4,5,5,1
defender,0.06524254,7,3,5,0
defender,0.06152028,3,4,6,2
defender,0.06010812,6,3,3,3
defender,0.05941823,5,2,1,7
defender,0.05857991,2,5,3,5
defender,0.05161202,1,7,1,6
defender,0.05039671,5,1,2,7
defender,0.05028982,7,0,7,1
defender,0.05021408,3,6,1,5
defender,0.04625837,0,7,7,1
defender,0.03617773,0,5,7,3
defender,0.035713,5,3,3,4
defender,0.02908786,3,1,7,4
defender,0.02638655,5,0,5,5
defender,0.0218231,1,7,2,5
defender,0.01385014,3,5,7,0
defender,0.0092845,3,5,5,2
defender,0.00861052,2,1,7,5
defender,0.00804535,5,3,0,7
defender,0.00775296,2,2,5,6
defender,0.00722056,1,1,8,5
defender,0.00709198,8,3,1,3
defender,0.00700687,3,1,3,8
defender,0.00693955,1,8,3,3
defender,0.00685022,1,6,3,5
defender,0.00351952,7,2,5,1
defender,0.00236816,3,4,7,1
defender,0.00141452,6,3,1,5
defender,0.00124252,4,1,5,5
defender,6.66e-06,1,1,13,0
defender,1.63e-06,5,0,0,10
defender,1.15e-06,0,13,1,1
