player,probability,a1,a2,a3,a4,a5
attacker,0.09354842,3,1,5,0,6
attacker,0.09254187,2,6,5,1,1
attacker,0.08393381,4,3,0,5,3
attacker,0.07170773,5,1,3,3,3
attacker,0.06908192,1,5,1,3,5
attacker,0.06604149,0,2,2,6,5
attacker,0.06552119,6,5,3,1,0
attacker,0.05921947,5,0,1,5,4
attacker,0.05285589,3,3,3,5,1
attacker,0.04597079,1,4,6,2,2
attacker,0.04572193,1,3,4,4,3
attacker,0.03835112,5,1,1,3,5
attacker,0.03211499,5,5,1,2,2
attacker,0.02889744,0,0,6,4,5
attacker,0.02805095,6,5,2,1,1
attacker,0.02769087,3,4,4,3,1
attacker,0.01682886,3,3,4,1,4
attacker,0.0112387,1,5,3,2,4
attacker,0.01037187,4,2,5,4,0
attacker,0.00913911,1,4,6,4,0
attacker,0.00880574,1,0,6,6,2
attacker,0.0068796,3,2,5,5,0
attacker,0.00591791,1,4,4,6,0
attacker,0.00530831,1,4,0,6,4
attacker,0.00334152,5,3,0,6,1
attacker,0.00312924,2,2,3,6,2
attacker,0.00294299,3,7,0,2,3
attacker,0.0028659,0,3,5,5,2
attacker,0.0026456,3,2,1,7,2
attacker,0.00255376,1,2,7,0,5
attacker,0.00238821,3,2,2,1,7
attacker,0.00166804,5,1,1,5,3
attacker,0.00148312,7,2,0,2,4
attacker,0.00074354,4,5,0,1,5
attacker,0.00042877,5,4,1,0,5
attacker,1.862e-05,8,3,2,1,1
attacker,9.75e-06,2,0,10,1,2
attacker,8.92e-06,4,0,1,10,0
attacker,7.92e-06,1,3,1,0,10
attacker,7.87e-06,12,0,3,0,0
attacker,5.69e-06,3,12,0,0,0
attacker,5.45e-06,0,4,1,8,2
attacker,3.74e-06,0,5,0,1,9
attacker,7.5e-07,0,1,1,11,2
attacker,6e-07,3,10,1,1,0
defender,0.09354842,3,1,5,0,6
defender,0.09254187,2,6,5,1,1
defender,0.08393379,4,3,0,5,3
defender,0.07170774,5,1,3,3,3
defender,0.06908192,1,5,1,3,5
defender,0.06604151,0,2,2,6,5
defender,0.0655212,6,5,3,1,0
defender,0.05921947,5,0,1,5,4
defender,0.05285593,3,3,3,5,1
defender,0.04597079,1,4,6,2,2
defender,0.04572195,1,3,4,4,3
defender,0.03835112,5,1,1,3,5
defender,0.032115,5,5,1,2,2
defender,0.02889747,0,0,6,4,5
defender,0.02805093,6,5,2,1,1
defender,0.02769085,3,4,4,3,1
defender,0.01682886,3,3,4,1,4
defender,0.01123868,1,5,3,2,4
defender,0.01037188,4,2,5,4,0
defender,0.0091391,1,4,6,4,0
defender,0.00880571,1,0,6,6,2
defender,0.00687957,3,2,5,5,0
defender,0.00591791,1,4,4,6,0
defender,0.00530833,1,4,0,6,4
defender,0.00334151,5,3,0,6,1
defender,0.00312924,2,2,3,6,2
defender,0.00294299,3,7,0,2,3
defender,0.00286591,0,3,5,5,2
defender,0.0026456,3,2,1,7,2
defender,0.00255376,1,2,7,0,5
defender,0.00238821,3,2,2,1,7
defender,0.00166802,5,1,1,5,3
defender,0.00148312,7,2,0,2,4
defender,0.00074355,4,5,0,1,5
defender,0.00042876,5,4,1,0,5
defender,1.862e-05,8,3,2,1,1
defender,9.75e-06,2,0,10,1,2
defender,8.92e-06,4,0,1,10,0
defender,7.92e-06,1,3,1,0,10
defender,7.87e-06,12,0,3,0,0
defender,5.7e-06,3,12,0,0,0
defender,5.45e-06,0,4,1,8,2
defender,3.74e-06,0,5,0,1,9
defender,7.5e-07,0,1,1,11,2
defender,6e-07,3,10,1,1,0
