player,probability,a1,a2,a3,a4,a5,a6
attacker,0.04548042,11,1,5,6,2,11
attacker,0.04167369,7,12,8,4,4,1
attacker,0.03819337,3,11,4,1,9,8
attacker,0.03575705,9,0,6,9,7,5
attacker,0.03072001,2,7,9,0,9,9
attacker,0.03032104,10,9,6,5,6,0
attacker,0.02974018,4,5,7,10,5,5
attacker,0.02867062,5,10,2,2,11,6
attacker,0.02710876,11,4,3,10,6,2
attacker,0.02667087,9,6,2,11,0,8
attacker,0.02662156,12,4,4,12,1,3
attacker,0.02638504,5,11,0,8,1,11
attacker,0.02378213,0,12,5,7,3,9
attacker,0.02289228,0,3,8,5,8,12
attacker,0.0227766,6,3,3,0,12,12
attacker,0.02210027,1,1,11,3,10,10
attacker,0.02144791,7,5,10,11,3,0
attacker,0.01842452,1,8,1,8,11,7
attacker,0.01796994,10,2,9,4,10,1
attacker,0.01709774,9,9,1,3,12,2
attacker,0.01639996,0,8,7,2,7,12
attacker,0.01592884,8,0,11,7,0,10
attacker,0.01533494,1,8,1,12,5,9
attacker,0.01521251,4,11,12,3,0,6
attacker,0.01500677,7,7,9,6,1,6
attacker,0.01436064,12,0,3,5,12,4
attacker,0.01411733,1,3,11,9,5,7
attacker,0.01371409,8,10,12,4,2,0
attacker,0.01367289,6,2,0,11,10,7
attacker,0.0130941,2,7,10,8,4,5
attacker,0.01301943,12,10,0,6,5,3
attacker,0.01267476,3,9,7,7,8,2
attacker,0.01244345,5,2,0,7,12,10
attacker,0.01228687,8,7,7,2,11,1
attacker,0.01208808,4,10,10,1,7,4
attacker,0.0120053,10,6,11,1,1,7
attacker,0.01195741,3,5,1,10,7,10
attacker,0.01137812,4,3,12,3,10,4
attacker,0.01003014,3,8,2,0,11,12
attacker,0.00997141,8,5,11,0,8,4
attacker,0.00981477,6,7,7,9,3,4
attacker,0.00979072,12,3,9,1,8,3
attacker,0.00968599,12,6,3,12,0,3
attacker,0.00962381,8,6,12,3,4,3
attacker,0.00908416,2,2,12,7,9,4
attacker,0.0090402,2,2,10,8,3,11
attacker,0.00892769,6,2,8,12,2,6
attacker,0.00871165,5,6,4,9,5,7
attacker,0.0080854,3,8,10,2,3,10
attacker,0.0080507,0,12,12,5,6,1
attacker,0.00799919,10,9,0,11,6,0
attacker,0.00744303,6,9,10,1,3,7
attacker,0.00743507,11,0,5,9,8,3
attacker,0.00693865,6,1,3,7,10,9
attacker,0.00678743,1,6,11,2,12,4
attacker,0.00655647,8,4,1,8,8,7
attacker,0.00603333,2,4,6,11,11,2
attacker,0.00551351,2,5,9,3,11,6
attacker,0.00540582,8,9,1,12,4,2
attacker,0.0052024,10,8,2,12,2,2
attacker,0.0050466,4,1,12,11,0,8
attacker,0.00472508,5,10,1,10,7,3
attacker,0.00416214,1,4,5,9,8,9
attacker,0.00295484,6,4,2,5,9,10
attacker,0.0023283,0,2,10,12,4,8
attacker,0.00139859,7,5,1,1,10,12
attacker,0.00137874,9,1,12,5,4,5
attacker,0.00126171,7,10,6,2,3,8
attacker,0.00096157,6,11,9,5,0,5
attacker,0.0009044,11,5,9,9,1,1
attacker,0.00014979,7,11,6,4,2,6
attacker,2.985e-05,13,4,9,7,3,0
attacker,1.789e-05,0,13,5,11,3,4
attacker,7.66e-06,1,5,5,7,17,1
attacker,4.42e-06,3,7,13,1,1,11
attacker,3.95e-06,0,6,0,18,2,10
attacker,3.42e-06,0,0,3,7,20,6
defender,0.04544682,1,11,6,5,2,11
defender,0.04160816,12,7,4,8,4,1
defender,0.0381951,11,3,1,4,9,8
defender,0.03565172,0,9,9,6,7,5
defender,0.03070931,7,2,0,9,9,9
defender,0.03029755,9,10,5,6,6,0
defender,0.02975046,5,4,10,7,5,5
defender,0.02859053,10,5,2,2,11,6
defender,0.02708519,4,11,10,3,6,2
defender,0.02676095,6,9,11,2,0,8
defender,0.02656249,4,12,12,4,1,3
defender,0.02641684,11,5,8,0,1,11
defender,0.02378744,12,0,7,5,3,9
defender,0.0228167,3,0,5,8,8,12
defender,0.02277471,3,6,0,3,12,12
defender,0.02214364,1,1,3,11,10,10
defender,0.02153649,5,7,11,10,3,0
defender,0.01841854,8,1,8,1,11,7
defender,0.01805992,2,10,4,9,10,1
defender,0.01708507,9,9,3,1,12,2
defender,0.01652403,8,0,2,7,7,12
defender,0.01592095,0,8,7,11,0,10
defender,0.01528136,8,1,12,1,5,9
defender,0.01520249,11,4,3,12,0,6
defender,0.01499961,7,7,6,9,1,6
defender,0.01438105,0,12,5,3,12,4
defender,0.01413047,3,1,9,11,5,7
defender,0.01369391,10,8,4,12,2,0
defender,0.01355903,2,6,11,0,10,7
defender,0.01311031,7,2,8,10,4,5
defender,0.01306963,10,12,6,0,5,3
defender,0.01261316,9,3,7,7,8,2
defender,0.01247864,2,5,7,0,12,10
defender,0.01222077,7,8,2,7,11,1
defender,0.01210419,10,4,1,10,7,4
defender,0.01202396,6,10,1,11,1,7
defender,0.01192806,5,3,10,1,7,10
defender,0.01141503,3,4,3,12,10,4
defender,0.01006685,8,3,0,2,11,12
defender,0.00995594,5,8,0,11,8,4
defender,0.00981876,7,6,9,7,3,4
defender,0.00979516,3,12,1,9,8,3
defender,0.0096839,6,12,12,3,0,3
defender,0.00953648,6,8,3,12,4,3
